Collection,Weapon,Skin,Quality,Steam Market API URL
"Ancient Collection","SG 553","Lush Ruins","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SG%20553%20%7C%20Lush%20Ruins%20(Factory%20New)"
"Ancient Collection","P90","Ancient Earth","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P90%20%7C%20Ancient%20Earth%20(Factory%20New)"
"Ancient Collection","SSG 08","Jungle Dashed","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SSG%2008%20%7C%20Jungle%20Dashed%20(Factory%20New)"
"Ancient Collection","R8 Revolver","Night","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=R8%20Revolver%20%7C%20Night%20(Factory%20New)"
"Ancient Collection","MP7","Tall Grass","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP7%20%7C%20Tall%20Grass%20(Factory%20New)"
"Ancient Collection","P2000","Panther Camo","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P2000%20%7C%20Panther%20Camo%20(Factory%20New)"
"Ancient Collection","G3SG1","Ancient Ritual","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=G3SG1%20%7C%20Ancient%20Ritual%20(Factory%20New)"
"Ancient Collection","CZ75-Auto","Silver","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=CZ75-Auto%20%7C%20Silver%20(Factory%20New)"
"Ancient Collection","FAMAS","Dark Water","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=FAMAS%20%7C%20Dark%20Water%20(Factory%20New)"
"Ancient Collection","Galil AR","Dusk Ruins","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Galil%20AR%20%7C%20Dusk%20Ruins%20(Factory%20New)"
"Ancient Collection","AUG","Carved Jade","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AUG%20%7C%20Carved%20Jade%20(Factory%20New)"
"Ancient Collection","Tec-9","Blast From the Past","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Tec-9%20%7C%20Blast%20From%20the%20Past%20(Factory%20New)"
"Ancient Collection","XM1014","Ancient Lore","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=XM1014%20%7C%20Ancient%20Lore%20(Factory%20New)"
"Ancient Collection","MAC-10","Gold Brick","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAC-10%20%7C%20Gold%20Brick%20(Factory%20New)"
"Ancient Collection","USP-S","Ancient Visions","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=USP-S%20%7C%20Ancient%20Visions%20(Factory%20New)"
"Ancient Collection","P90","Run and Hide","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P90%20%7C%20Run%20and%20Hide%20(Factory%20New)"
"Ancient Collection","AK-47","Panthera onca","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AK-47%20%7C%20Panthera%20onca%20(Factory%20New)"
"Ancient Collection","M4A1-S","Welcome to the Jungle","Covert","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M4A1-S%20%7C%20Welcome%20to%20the%20Jungle%20(Factory%20New)"
"Assault Collection","SG 553","Tornado","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SG%20553%20%7C%20Tornado%20(Factory%20New)"
"Assault Collection","UMP-45","Caramel","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=UMP-45%20%7C%20Caramel%20(Factory%20New)"
"Assault Collection","Five-SeveN","Candy Apple ","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Five-SeveN%20%7C%20Candy%20Apple%20%20(Factory%20New)"
"Assault Collection","AUG","Hot Rod","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AUG%20%7C%20Hot%20Rod%20(Factory%20New)"
"Assault Collection","Negev","Anodized Navy","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Negev%20%7C%20Anodized%20Navy%20(Factory%20New)"
"Assault Collection","MP9","Bulldozer","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP9%20%7C%20Bulldozer%20(Factory%20New)"
"Assault Collection","Glock-18","Fade","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Glock-18%20%7C%20Fade%20(Factory%20New)"
"Aztec Collection","Nova","Forest Leaves","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Nova%20%7C%20Forest%20Leaves%20(Factory%20New)"
"Aztec Collection","Five-SeveN","Jungle","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Five-SeveN%20%7C%20Jungle%20(Factory%20New)"
"Aztec Collection","SSG 08","Lichen Dashed","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SSG%2008%20%7C%20Lichen%20Dashed%20(Factory%20New)"
"Aztec Collection","AK-47","Jungle Spray","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AK-47%20%7C%20Jungle%20Spray%20(Factory%20New)"
"Aztec Collection","M4A4","Jungle Tiger","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M4A4%20%7C%20Jungle%20Tiger%20(Factory%20New)"
"Aztec Collection","Tec-9","Ossified","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Tec-9%20%7C%20Ossified%20(Factory%20New)"
"Baggage Collection","G3SG1","Contractor","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=G3SG1%20%7C%20Contractor%20(Factory%20New)"
"Baggage Collection","MP7","Olive Plaid","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP7%20%7C%20Olive%20Plaid%20(Factory%20New)"
"Baggage Collection","CZ75-Auto","Green Plaid","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=CZ75-Auto%20%7C%20Green%20Plaid%20(Factory%20New)"
"Baggage Collection","MP9","Green Plaid","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP9%20%7C%20Green%20Plaid%20(Factory%20New)"
"Baggage Collection","SSG 08","Sand Dune","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SSG%2008%20%7C%20Sand%20Dune%20(Factory%20New)"
"Baggage Collection","SG 553","Traveler","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SG%20553%20%7C%20Traveler%20(Factory%20New)"
"Baggage Collection","P90","Leather","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P90%20%7C%20Leather%20(Factory%20New)"
"Baggage Collection","MAC-10","Commuter","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAC-10%20%7C%20Commuter%20(Factory%20New)"
"Baggage Collection","P2000","Coach Class","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P2000%20%7C%20Coach%20Class%20(Factory%20New)"
"Baggage Collection","Sawed-Off","First Class","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Sawed-Off%20%7C%20First%20Class%20(Factory%20New)"
"Baggage Collection","USP-S","Business Class","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=USP-S%20%7C%20Business%20Class%20(Factory%20New)"
"Baggage Collection","XM1014","Red Leather","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=XM1014%20%7C%20Red%20Leather%20(Factory%20New)"
"Baggage Collection","AK-47","First Class","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AK-47%20%7C%20First%20Class%20(Factory%20New)"
"Baggage Collection","Desert Eagle","Pilot","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Desert%20Eagle%20%7C%20Pilot%20(Factory%20New)"
"Baggage Collection","AK-47","Jet Set","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AK-47%20%7C%20Jet%20Set%20(Factory%20New)"
"Bank Collection","Tec-9","Urban DDPAT","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Tec-9%20%7C%20Urban%20DDPAT%20(Factory%20New)"
"Bank Collection","SG 553","Army Sheen","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SG%20553%20%7C%20Army%20Sheen%20(Factory%20New)"
"Bank Collection","Sawed-Off","Forest DDPAT","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Sawed-Off%20%7C%20Forest%20DDPAT%20(Factory%20New)"
"Bank Collection","Negev","Army Sheen","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Negev%20%7C%20Army%20Sheen%20(Factory%20New)"
"Bank Collection","MP7","Forest DDPAT","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP7%20%7C%20Forest%20DDPAT%20(Factory%20New)"
"Bank Collection","R8 Revolver","Bone Mask","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=R8%20Revolver%20%7C%20Bone%20Mask%20(Factory%20New)"
"Bank Collection","UMP-45","Carbon Fiber","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=UMP-45%20%7C%20Carbon%20Fiber%20(Factory%20New)"
"Bank Collection","Nova","Caged Steel","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Nova%20%7C%20Caged%20Steel%20(Factory%20New)"
"Bank Collection","MAC-10","Silver","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAC-10%20%7C%20Silver%20(Factory%20New)"
"Bank Collection","Glock-18","Death Rattle","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Glock-18%20%7C%20Death%20Rattle%20(Factory%20New)"
"Bank Collection","G3SG1","Green Apple","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=G3SG1%20%7C%20Green%20Apple%20(Factory%20New)"
"Bank Collection","Galil AR","Tuxedo","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Galil%20AR%20%7C%20Tuxedo%20(Factory%20New)"
"Bank Collection","Desert Eagle","Meteorite","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Desert%20Eagle%20%7C%20Meteorite%20(Factory%20New)"
"Bank Collection","CZ75-Auto","Tuxedo","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=CZ75-Auto%20%7C%20Tuxedo%20(Factory%20New)"
"Bank Collection","AK-47","Emerald Pinstripe","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AK-47%20%7C%20Emerald%20Pinstripe%20(Factory%20New)"
"Bank Collection","P250","Franklin","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P250%20%7C%20Franklin%20(Factory%20New)"
"Blacksite Collection","MP5-SD","Lab Rats","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP5-SD%20%7C%20Lab%20Rats%20(Factory%20New)"
"Cache Collection","Negev","Nuclear Waste","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Negev%20%7C%20Nuclear%20Waste%20(Factory%20New)"
"Cache Collection","P250","Contamination","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P250%20%7C%20Contamination%20(Factory%20New)"
"Cache Collection","AUG","Radiation Hazard","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AUG%20%7C%20Radiation%20Hazard%20(Factory%20New)"
"Cache Collection","PP-Bizon","Chemical Green","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=PP-Bizon%20%7C%20Chemical%20Green%20(Factory%20New)"
"Cache Collection","SG 553","Fallout Warning","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SG%20553%20%7C%20Fallout%20Warning%20(Factory%20New)"
"Cache Collection","Five-SeveN","Hot Shot","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Five-SeveN%20%7C%20Hot%20Shot%20(Factory%20New)"
"Cache Collection","Glock-18","Reactor","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Glock-18%20%7C%20Reactor%20(Factory%20New)"
"Cache Collection","MP9","Setting Sun","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP9%20%7C%20Setting%20Sun%20(Factory%20New)"
"Cache Collection","XM1014","Bone Machine","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=XM1014%20%7C%20Bone%20Machine%20(Factory%20New)"
"Cache Collection","MAC-10","Nuclear Garden","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAC-10%20%7C%20Nuclear%20Garden%20(Factory%20New)"
"Cache Collection","Tec-9","Toxic","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Tec-9%20%7C%20Toxic%20(Factory%20New)"
"Cache Collection","FAMAS","Styx","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=FAMAS%20%7C%20Styx%20(Factory%20New)"
"Cache Collection","Galil AR","Cerberus","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Galil%20AR%20%7C%20Cerberus%20(Factory%20New)"
"Canals Collection","CZ75-Auto","Indigo","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=CZ75-Auto%20%7C%20Indigo%20(Factory%20New)"
"Canals Collection","AUG","Navy Murano","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AUG%20%7C%20Navy%20Murano%20(Factory%20New)"
"Canals Collection","R8 Revolver","Canal Spray","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=R8%20Revolver%20%7C%20Canal%20Spray%20(Factory%20New)"
"Canals Collection","Negev","Boroque Sand","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Negev%20%7C%20Boroque%20Sand%20(Factory%20New)"
"Canals Collection","SCAR-20","Stone Mosaico","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SCAR-20%20%7C%20Stone%20Mosaico%20(Factory%20New)"
"Canals Collection","AK-47","Baroque Purple","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AK-47%20%7C%20Baroque%20Purple%20(Factory%20New)"
"Canals Collection","SG 553","Candy Apple","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SG%20553%20%7C%20Candy%20Apple%20(Factory%20New)"
"Canals Collection","Tec-9","Orange Murano","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Tec-9%20%7C%20Orange%20Murano%20(Factory%20New)"
"Canals Collection","P250","Dark Filigree","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P250%20%7C%20Dark%20Filigree%20(Factory%20New)"
"Canals Collection","Dual Berettas","Emerald","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Dual%20Berettas%20%7C%20Emerald%20(Factory%20New)"
"Canals Collection","P90","Baroque Red","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P90%20%7C%20Baroque%20Red%20(Factory%20New)"
"Canals Collection","SSG 08","Orange Filigree","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SSG%2008%20%7C%20Orange%20Filigree%20(Factory%20New)"
"Canals Collection","G3SG1","Violet Murano","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=G3SG1%20%7C%20Violet%20Murano%20(Factory%20New)"
"Canals Collection","MAC-10","Red Filigree","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAC-10%20%7C%20Red%20Filigree%20(Factory%20New)"
"Canals Collection","Nova","Baroque Orange","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Nova%20%7C%20Baroque%20Orange%20(Factory%20New)"
"Canals Collection","MP9","Stained Glass","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP9%20%7C%20Stained%20Glass%20(Factory%20New)"
"Canals Collection","MAG-7","Cinquedea","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAG-7%20%7C%20Cinquedea%20(Factory%20New)"
"Canals Collection","AWP","The Prince","Covert","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AWP%20%7C%20The%20Prince%20(Factory%20New)"
"Cobblestone Collection","P90","Storm","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P90%20%7C%20Storm%20(Factory%20New)"
"Cobblestone Collection","UMP-45","Indigo","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=UMP-45%20%7C%20Indigo%20(Factory%20New)"
"Cobblestone Collection","MAC-10","Indigo","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAC-10%20%7C%20Indigo%20(Factory%20New)"
"Cobblestone Collection","SCAR-20","Storm","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SCAR-20%20%7C%20Storm%20(Factory%20New)"
"Cobblestone Collection","Dual Berettas","Briar","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Dual%20Berettas%20%7C%20Briar%20(Factory%20New)"
"Cobblestone Collection","USP-S","Royal Blue","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=USP-S%20%7C%20Royal%20Blue%20(Factory%20New)"
"Cobblestone Collection","Nova","Green Apple","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Nova%20%7C%20Green%20Apple%20(Factory%20New)"
"Cobblestone Collection","MAG-7","Silver","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAG-7%20%7C%20Silver%20(Factory%20New)"
"Cobblestone Collection","Sawed-Off","Rust Coat","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Sawed-Off%20%7C%20Rust%20Coat%20(Factory%20New)"
"Cobblestone Collection","P2000","Chainmail","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P2000%20%7C%20Chainmail%20(Factory%20New)"
"Cobblestone Collection","MP9","Dark Age","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP9%20%7C%20Dark%20Age%20(Factory%20New)"
"Cobblestone Collection","Desert Eagle","Hand Cannon","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Desert%20Eagle%20%7C%20Hand%20Cannon%20(Factory%20New)"
"Cobblestone Collection","CZ75-Auto","Chalice","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=CZ75-Auto%20%7C%20Chalice%20(Factory%20New)"
"Cobblestone Collection","M4A1-S","Knight","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M4A1-S%20%7C%20Knight%20(Factory%20New)"
"Cobblestone Collection","AWP","Dragon Lore","Covert","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AWP%20%7C%20Dragon%20Lore%20(Factory%20New)"
"Dust Collection","M4A4","Desert Storm","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M4A4%20%7C%20Desert%20Storm%20(Factory%20New)"
"Dust Collection","SCAR-20","Palm","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SCAR-20%20%7C%20Palm%20(Factory%20New)"
"Dust Collection","AK-47","Predator","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AK-47%20%7C%20Predator%20(Factory%20New)"
"Dust Collection","AWP","Snake Camo","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AWP%20%7C%20Snake%20Camo%20(Factory%20New)"
"Dust Collection","AUG","Copperhead","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AUG%20%7C%20Copperhead%20(Factory%20New)"
"Dust Collection","Sawed-Off","Copper","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Sawed-Off%20%7C%20Copper%20(Factory%20New)"
"Dust Collection","Desert Eagle","Blaze","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Desert%20Eagle%20%7C%20Blaze%20(Factory%20New)"
"Dust Collection","P2000","Scorpion","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P2000%20%7C%20Scorpion%20(Factory%20New)"
"Dust Collection","Glock-18","Brass","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Glock-18%20%7C%20Brass%20(Factory%20New)"
"Dust II Collection","Nova","Predator","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Nova%20%7C%20Predator%20(Factory%20New)"
"Dust II Collection","MP9","Sand Dashed","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP9%20%7C%20Sand%20Dashed%20(Factory%20New)"
"Dust II Collection","P90","Sand Spray","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P90%20%7C%20Sand%20Spray%20(Factory%20New)"
"Dust II Collection","SCAR-20","Sand Mesh","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SCAR-20%20%7C%20Sand%20Mesh%20(Factory%20New)"
"Dust II Collection","P250","Sand Dune","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P250%20%7C%20Sand%20Dune%20(Factory%20New)"
"Dust II Collection","G3SG1","Desert Storm","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=G3SG1%20%7C%20Desert%20Storm%20(Factory%20New)"
"Dust II Collection","Tec-9","VariCamo","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Tec-9%20%7C%20VariCamo%20(Factory%20New)"
"Dust II Collection","MAC-10","Palm","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAC-10%20%7C%20Palm%20(Factory%20New)"
"Dust II Collection","Five-SeveN","Orange Peel","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Five-SeveN%20%7C%20Orange%20Peel%20(Factory%20New)"
"Dust II Collection","AK-47","Safari Mesh","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AK-47%20%7C%20Safari%20Mesh%20(Factory%20New)"
"Dust II Collection","Sawed-Off","Snake Camo","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Sawed-Off%20%7C%20Snake%20Camo%20(Factory%20New)"
"Dust II Collection","M4A1-S","VariCamo","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M4A1-S%20%7C%20VariCamo%20(Factory%20New)"
"Dust II Collection","PP-Bizon","Brass","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=PP-Bizon%20%7C%20Brass%20(Factory%20New)"
"Dust II Collection","SG 553","Damascus Steel","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SG%20553%20%7C%20Damascus%20Steel%20(Factory%20New)"
"Dust II Collection","P2000","Amber Fade","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P2000%20%7C%20Amber%20Fade%20(Factory%20New)"
